"Year","School","Type","Adm.Rate","Enrollment","Avg.Cost","Inst.Expense","Avg.Faculty.Pay","Pell.Grant.Pct","Completion","Pct.Fed.Loan","Default.3Y"
"2010","Alabama A & M University","Public",51.29,4.93,13.762,6.601,6.603,63.17,33.06,74.11,9.5
"2010","University of Alabama at Birmingham","Public",82.43,10.661,18.003,16.09,9,28.82,41.08,49.18,3.7
"2010","University of Alabama at Huntsville","Public",66.14,5.828,17.064,8.379,8.154,27.5,43.64,46.33,3.7
"2010","Alabama State University","Public",43.72,4.882,14.39,7.386,6.671,74.39,23.99,86.01,14.8
"2010","The University of Alabama","Public",53.58,24.376,21.565,9.328,8.374,20.73,67.26,34.7,3.7
"2010","Athens State University","Public",71.3,3.414,38.323,5.46,7.256,35.3,63.39,58.45,4
"2010","Auburn University at Montgomery","Public",95.03,4.816,14.367,5.715,6.744,35.42,24.55,51.5,8.4
"2010","Auburn University","Public",78.67,20.221,19.49,10.502,8.554,15.38,66.44,36.36,4.8
"2010","Birmingham Southern College","Private",66.49,1.521,38.205,11.479,6.379,21.15,63.49,44.83,4.4
"2010","Concordia College-Selma","Private",54.77,0.652,13.21,5.499,4.061,92.36,4.05,68.29,23.6
"2010","Faulkner University","Private",51.17,2.334,24.105,4.245,6.444,76.54,37.3,88.7,10.2
"2010","Huntingdon College","Private",62.17,1.094,28.724,6.441,5.283,34.98,47.4,68,9.3
"2010","Jacksonville State University","Public",83.97,7.747,16.378,6.152,6.343,41.74,33.04,65.33,9.1
"2010","University of West Alabama","Public",40.52,1.901,14.833,5.444,5.56,57.84,31.44,66.38,7.5
"2010","Miles College","Private",73.62,1.66,18.669,4.074,3.722,79.88,24.12,91.3,15
"2010","University of Mobile","Private",74.6,1.477,26.95,6.261,4.591,48.55,41.22,83.32,4.2
"2010","University of Montevallo","Public",72.3,2.493,15.46,7.145,6.295,34.46,40.78,54.76,9.8
"2010","University of North Alabama","Public",86.85,5.788,12.123,6.11,6.697,33.43,33.06,44.72,9.2
"2010","Oakwood University","Private",51.12,1.841,31.7,7.048,5.009,42.28,40.28,69.07,12.5
"2010","Samford University","Private",86.69,2.918,32.527,11.347,7.48,14.1,73.38,39,0.7
"2010","University of South Alabama","Public",86.45,11.536,13.338,10.118,6.691,31.02,36.31,48.94,4.9
"2010","Spring Hill College","Private",53.07,1.377,37.992,6.053,5.544,31.6,64.4,66.56,5.1
"2010","Stillman College","Private",48.55,1.056,23.198,4.065,4.85,82.8,23.84,90.68,4.3
"2010","Talladega College","Private",76.84,0.706,17.047,5.411,4.456,75.57,19.32,68.14,19.4
"2010","Troy University","Public",69.51,22.045,14.444,5.692,5.974,41.87,33.45,58.64,10
"2010","Tuskegee University","Private",59.72,2.48,28.752,10.021,5.963,47.92,46.36,67.6,7.3
"2010","University of Alaska Anchorage","Public",79.43,12.737,13.693,9.539,7.763,16.34,28.17,26.73,6
"2010","University of Alaska Fairbanks","Public",71.5,5.71,14.799,16.222,7.897,16.3,30.7,23.92,9.1
"2010","University of Alaska Southeast","Public",69.42,1.58,13.531,11.629,6.842,12.48,26.39,17.76,8.9
"2010","Arizona State University","Public",90.5,56.232,18.383,9.492,8.987,30.83,58.67,44.5,3.9
"2010","University of Arizona","Public",75.36,30.343,20.537,11.128,9.475,26.53,59.74,35.91,4.1
"2010","Embry Riddle Aeronautical University-Prescott","Private",81.93,1.647,41.586,16.76,7.419,27.97,60.11,60.91,4.4
"2010","Northern Arizona University","Public",65.23,19.98,19.826,7.167,7.134,32.69,49.21,52.45,5.4
"2010","Prescott College","Private",99.45,0.769,35.344,5.948,4.564,40.74,42.5,71.09,5.6
"2010","University of Arkansas at Little Rock","Public",87.31,9.136,16.637,6.616,6.617,35.96,21.34,48.26,9.7
"2010","University of Arkansas for Medical Sciences","Public",31.82,0.919,53.95,51.501,7.656,32.48,87.77,62.53,1.4
"2010","Arkansas Baptist College","Private",89.97,1.118,18.037,3.044,3.924,81.74,2.13,90.33,27.2
"2010","Lyon College","Private",67.48,0.634,30.308,10.645,5.787,43.49,51.06,59.93,5.5
